date,city,rainfall
2/13/2018,屏東縣,0
2/13/2018,苗栗縣,0
2/13/2018,桃園市,0
2/13/2018,高雄市,0
2/13/2018,基隆市,0
2/13/2018,連江縣,0
2/13/2018,雲林縣,0
2/13/2018,新北市,0
2/13/2018,新竹縣,0
2/13/2018,嘉義縣,0
2/13/2018,彰化縣,0
2/13/2018,臺中市,0
2/13/2018,臺北市,0
2/13/2018,臺東縣,2
2/13/2018,臺南市,0
2/13/2018,澎湖縣,0
2/14/2018,宜蘭縣,0
2/14/2018,花蓮縣,0
2/14/2018,金門縣,0
2/14/2018,南投縣,0
2/14/2018,屏東縣,0
2/14/2018,苗栗縣,0
2/14/2018,桃園市,0
2/14/2018,高雄市,0
2/14/2018,基隆市,0
2/14/2018,連江縣,0
2/14/2018,雲林縣,0
2/14/2018,新北市,0
2/14/2018,新竹縣,0
2/14/2018,嘉義縣,0
2/14/2018,彰化縣,0
2/14/2018,臺中市,0
2/14/2018,臺北市,0
2/14/2018,臺東縣,0
2/14/2018,臺南市,0
2/14/2018,澎湖縣,0
2/15/2018,宜蘭縣,0
2/15/2018,花蓮縣,0
2/15/2018,金門縣,0.6
2/15/2018,南投縣,0
2/15/2018,屏東縣,0
